"","genus_sp","ED","evol_dist_scaled","global_di","funct_dist_scaled","scarcity_average","scarcity_scaled","biomass","biomass_log","biomass_log_scaled","scarcity_logbio_scaled"
"1","Acantholabrus_palloni",29.1857375515483,0.115373044162219,0.39371083708023,0.437255635626009,0.999440474430977,0.999434056864431,46.4191548,1.66669722855769,0.468208055141281,0.531791944858719
"2","Agonus_cataphractus",30.5085306474456,0.124438621824206,0.309400331045441,0.125585005650953,0.978649320063529,0.978388427007654,1611.0538776759,3.20711006455707,0.633413889572202,0.366586110427798
"3","Aldrovandia_affinis",66.8359239058375,0.373403335854636,0.31560453543679,0.14852008672315,0.997984425628893,0.997960186602083,6.7127308,0.826899231064147,0.37814159653551,0.62185840346449
"4","Aldrovandia_phalacra",48.7893750158312,0.249723834502067,0.351155265536862,0.279940463227482,0.999995341261568,0.999995715045119,0.0155,-1.80966830182971,0.0953756203466567,0.904624379653343
"5","Alepocephalus_agassizii",36.2289857514208,0.163642961616908,0.302535781889625,0.100208828226459,0.864469616430578,0.862811209054912,2997.97343994,3.4768277809677,0.66234051194192,0.33765948805808
"6","Alepocephalus_bairdii",39.0150850847435,0.182737104123839,0.316962456220925,0.153539912201044,0.818069374370955,0.815843046422222,6994.3017748,3.84474436636371,0.701798743573631,0.298201256426369
"7","Alepocephalus_rostratus",34.4730897514215,0.151609173714826,0.32678167679412,0.189838622834436,0.990435691559757,0.99031905901972,740.181304118,2.86933811126311,0.597188602371782,0.402811397628218
"8","Allocyttus_verrucosus",52.4988890227306,0.275146470454792,0.391935514342825,0.430692800435012,0.999846423349965,0.999844974437298,0.511,-0.291579099865287,0.258187294912061,0.741812705087939
"9","Alopias_vulpinus",158.265038756318,1,0.545939688840802,1,0.996642474717035,0.996601810742918,32.6,1.51321760006794,0.451747707953674,0.548252292046326
"10","Alosa_alosa",44.9135190219549,0.22316119698291,0.346283488845586,0.261930967354673,0.998926804419247,0.99891409973534,58.899548,1.77011196198814,0.479299054209556,0.520700945790444
"11","Alosa_fallax",44.9135190219549,0.22316119698291,0.33608591938833,0.22423361448093,0.981398433621654,0.981171188626177,2196.1292973,3.3416579056555,0.647843844867352,0.352156155132648
"12","Amblyraja_jenseni",39.5164038074641,0.186172821945717,0.381540004552498,0.392263721573522,0.996439649475498,0.996396503000809,22.904,1.35991133501354,0.435305953607107,0.564694046392893
"13","Amblyraja_radiata",39.5164038074641,0.186172821945717,0.367721140589547,0.341179530060124,0.939577632207068,0.938838517177055,6875.76341283,3.83732092469475,0.701002596043171,0.298997403956829
"14","Ammodytes_marinus",25.9056478474008,0.0928934076692098,0.360796501200485,0.31558121708299,0.928415619572545,0.927539885931711,17413.943978782,4.24089714298642,0.744285243617381,0.255714756382619
"15","Ammodytes_tobianus",18.5567875981281,0.0425290207340939,0.327584193061964,0.192805284553452,0.982241261363846,0.982024332245897,2072.009005877,3.31639163871518,0.645134094198387,0.354865905801613
"16","Anarhichas_lupus",19.123236879054,0.0464111017365861,0.283013968815682,0.0280425459306261,0.990359641905297,0.990242078547629,1085.45721072414,3.03561270801829,0.615021181314026,0.384978818685974
"17","Anarhichas_minor",19.123236879054,0.0464111017365861,0.348315061593556,0.269441081905983,0.997994243564091,0.997970124704916,6.68,0.824776462475546,0.377913934347953,0.622086065652047
"18","Anguilla_anguilla",97.0800415628495,0.580677170506706,0.34035070709467,0.239999254300439,0.972405469781567,0.972068154472856,1743.8938211,3.24152003890265,0.637104282427713,0.362895717572287
"19","Anoplogaster_cornuta",68.6438228708585,0.385793518811636,0.345285963103142,0.258243414151809,0.999971513677443,0.999971595820807,0.294,-0.531652669587843,0.232439941031377,0.767560058968623
"20","Anthias_anthias",77.3536809807647,0.445485314425886,0.316278641821251,0.151012055653197,0.996912085581158,0.996874721537163,214.23703566,2.33089455049406,0.539441733693493,0.460558266306507
"21","Antigonia_capros",77.8605097882815,0.448958794844045,0.347135163966891,0.265079354596967,0.999987820230243,0.999988101959351,0.08,-1.09691001300806,0.171817354082238,0.828182645917762
"22","Antimora_rostrata",22.7224254227942,0.0710776375422309,0.321158819998437,0.169052609297206,0.99558242928016,0.995528790770021,132.116723,2.12095779298889,0.516926485578944,0.483073514421056
"23","Aphanopus_carbo",52.9732377966326,0.278397353500685,0.4236093001715,0.54778127786444,0.950215078239265,0.949606161332763,5672.408145,3.7537674719536,0.692041674946502,0.307958325053498
"24","Aphia_minuta",46.8751592560504,0.236605024246771,0.447476040350937,0.636009451279823,0.998021863605969,0.997998082805161,189.094855459,2.27667971352954,0.53362731357835,0.46637268642165
"25","Apletodon_dentatus",46.1523416715976,0.231651294923848,0.361467266144572,0.318060833711108,0.999989738408531,0.999990043615381,0.179,-0.747146969020107,0.209328658964114,0.790671341035886
"26","Apogon_imberbis",100.662499261686,0.605229043804438,0.401944016986288,0.467691230057861,0.999927425468189,0.999926967989345,0.58871429,-0.230095422328098,0.264781281935562,0.735218718064438
"27","Apristurus_aphyodes",87.6074221399422,0.515757896806868,0.314653002831111,0.145002556339317,0.996096510605632,0.996049164247172,50.211634,1.70080435452784,0.471865968185276,0.528134031814724
"28","Apristurus_laurussonii",86.259188740545,0.506517967579366,0.313343515391018,0.140161774394186,0.997366272999252,0.997334468029247,36.298367,1.55988708732698,0.456752906173858,0.543247093826142
"29","Apristurus_manis",88.5062444062069,0.521917849625203,0.3178533796536,0.156833388667749,0.996496812801838,0.996454365983609,38.823011,1.5890892149775,0.459884769108856,0.540115230891144
"30","Apristurus_melanoasper",90.5285945053027,0.535777743466456,0.379535683780054,0.384854349394425,0.999509270326608,0.999503694794558,5.056,0.703807065274329,0.364940236818182,0.635059763181818
"31","Apristurus_microps",86.259188740545,0.506517967579366,0.320647350238386,0.167161859142503,0.999902578221998,0.999901816622709,0.632,-0.199282921717615,0.268085853771952,0.731914146228048
"32","Apterichtus_caecus",47.3127878580564,0.23960425072512,0.332141615740782,0.209652708014342,0.999936838538598,0.999936496272006,1.75299442,0.243780533682462,0.315603419287257,0.684396580712743
"33","Arctozenus_risso",44.091910026981,0.217530414531123,0.334140046217101,0.217040305536988,0.999940301641571,0.999940001761986,4.237196906,0.627078646489128,0.356711285361964,0.643288714638036
"34","Argentina_silus",52.523810643785,0.275317267302637,0.310508299259245,0.129680831514534,0.392240243595914,0.38480193585474,110742.7982992,5.04431549326429,0.830450066353786,0.169549933646214
"35","Argentina_sphyraena",52.523810643785,0.275317267302637,0.30276448764809,0.101054284755807,0.570222839221526,0.564962967911224,54906.0785770321,4.73962042726117,0.797772201401192,0.202227798598808
"36","Argyropelecus_aculeatus",48.427614922651,0.247244562248602,0.368019498115952,0.342282468265406,0.999994632344106,0.999994997450788,0.048,-1.31875876262441,0.148024571432483,0.851975428567517
"37","Argyropelecus_hemigymnus",55.326628922651,0.294525990766878,0.39636170115909,0.447055084310324,0.999896980021191,0.999896149902142,7.5330687622,0.876971931710791,0.383511781786642,0.616488218213358
"38","Argyropelecus_olfersii",48.427614922651,0.247244562248602,0.369303219770567,0.347028001836768,0.999968030071036,0.999968069576439,1.527741835,0.184049971315824,0.30919744994826,0.69080255005174
"39","Argyrosomus_regius",61.1637578945912,0.334529938611996,0.391074713045106,0.427510676458283,0.987169514142185,0.987012904885036,550.9947864,2.741147489508,0.583440444645265,0.416559555354735
"40","Ariosoma_balearicum",96.3208572346368,0.575474206786589,0.372353721055657,0.358304789297531,0.999809280557659,0.999807377031935,11.95041021,1.07738281314037,0.405005400978753,0.594994599021247
