OID_First,OID,spNum,rare2d_PD_FD,rare3d_restrict,rare3d_scarce,rare2d_FD_TD_restrict,rare2d_FD_TD_scarce,rare4d_restrict_scarce,rare2d_PD_TD_restrict,rare2d_PD_TD_scarce,ID_f,NomActive,EffActive,NV,P,GT,NomActiveHours,EffActiveHours,xcoord,ycoord
5655,5655,31,4,0,0,0,0,0,0,0,6057,238.4819,491.2336,0.007225083,1.19035,0.1734327,2266.378,4668.367,13.75,35.75
5656,5656,43,6,0,0,0,0,0,0,0,6057,238.4819,491.2336,0.007225083,1.19035,0.1734327,2266.378,4668.367,13.75,35.75
5657,5657,41,2,0,0,0,0,0,0,0,6181,59.62048,122.8084,0.001806271,0.2975874,0.04335817,497.5671,1024.907,14.25,35.75
5658,5658,60,6,0,0,0,0,0,0,0,6181,59.62048,122.8084,0.001806271,0.2975874,0.04335817,497.5671,1024.907,14.25,35.75
5661,5661,70,7,2,0,2,0,0,2,0,6436,57.80387,198.4827,0.00190999,0.2879314,0.0410074,573.7351,1970.05,15.25,35.75
5812,5812,11,1,0,0,0,0,0,0,0,1424,149.1746,305.177,0.003805712,0.7428898,0.1161525,1586.419,3256.932,-7.25,36.25
5814,5814,29,1,0,0,0,0,0,0,0,1546,298.3492,610.3541,0.007611425,1.48578,0.2323051,2840.437,5839.195,-6.75,36.25
5815,5815,30,1,0,0,0,0,0,0,0,1677,149.1746,305.177,0.003805712,0.7428898,0.1161525,1207.137,2486.079,-6.25,36.25
5820,5820,23,3,0,0,0,0,0,0,0,1910,0.02811954,0.07202347,8.12E-07,0.00014034,2.00E-05,0.2240191,0.5737873,-5.25,36.25
5828,5828,19,2,0,0,0,0,0,0,0,2331,0.0536605,0.09351394,1.46E-06,0.00026755,4.35E-05,0.5062571,0.884816,-3.25,36.25
5893,5893,50,7,0,0,0,0,0,0,1,5934,29.81024,61.40421,0.000903135,0.1487937,0.02167909,275.3865,567.251,13.25,36.25
5894,5894,53,8,0,0,0,0,0,0,0,5934,29.81024,61.40421,0.000903135,0.1487937,0.02167909,275.3865,567.251,13.25,36.25
5895,5895,46,7,0,0,0,0,0,0,0,6069,59.62048,122.8084,0.001806271,0.2975874,0.04335817,550.7729,1134.502,13.75,36.25
5896,5896,57,6,0,0,0,0,0,0,0,6069,59.62048,122.8084,0.001806271,0.2975874,0.04335817,550.7729,1134.502,13.75,36.25
5897,5897,68,8,0,0,0,0,0,0,0,6189,29.81024,61.40421,0.000903135,0.1487937,0.02167909,241.9315,498.3393,14.25,36.25
5898,5898,76,9,2,0,2,0,0,2,0,6189,29.81024,61.40421,0.000903135,0.1487937,0.02167909,241.9315,498.3393,14.25,36.25
5899,5899,69,10,2,0,2,0,0,2,0,6300,1709.076,3620.881,0.04320262,8.514526,1.323611,14545.7,31080.22,14.75,36.25
5900,5900,53,6,0,0,0,0,0,0,0,6300,1709.076,3620.881,0.04320262,8.514526,1.323611,14545.7,31080.22,14.75,36.25
5901,5901,27,1,0,0,0,0,0,0,0,6443,854.5378,1810.44,0.02160131,4.257263,0.6618056,7871.734,16798.99,15.25,36.25
5902,5902,57,5,0,0,0,0,0,0,0,6443,854.5378,1810.44,0.02160131,4.257263,0.6618056,7871.734,16798.99,15.25,36.25
5932,5932,17,0,0,0,0,0,0,0,0,8588,133.2968271,787.9781568,0.003674487,0.665731699,0.091261446,1095.379159,6475.376291,22.75,36.25
5933,5933,13,0,0,0,0,0,0,0,0,8640,66.5286,393.6782,0.001833824,0.3322667,0.04554336,532.0898,3148.603,23.25,36.25
5942,5942,6,0,0,0,0,0,0,0,0,8835,54.96601,116.452,0.00138945,0.2738378,0.04256899,438.2207,937.2747,25.25,36.25
6052,6052,21,1,0,0,0,0,0,0,0,1424,149.1746,305.177,0.003805712,0.7428898,0.1161525,1586.419,3256.932,-7.25,36.25
6053,6053,27,1,0,0,0,0,0,0,0,1546,298.3492,610.3541,0.007611425,1.48578,0.2323051,2840.437,5839.195,-6.75,36.25
6054,6054,29,1,0,0,0,0,0,0,0,1546,298.3492,610.3541,0.007611425,1.48578,0.2323051,2840.437,5839.195,-6.75,36.25
6055,6055,22,1,0,0,0,0,0,0,0,1677,149.1746,305.177,0.003805712,0.7428898,0.1161525,1207.137,2486.079,-6.25,36.25
6068,6068,23,3,0,0,0,0,0,0,0,2331,0.0536605,0.09351394,1.46E-06,0.00026755,4.35E-05,0.5062571,0.884816,-3.25,36.25
6072,6072,34,4,0,1,0,1,0,0,2,2622,35.5265,67.42553,0.000891598,0.1770998,0.02709754,340.2067,650.3278,-2.25,36.25
6136,6136,44,6,0,0,0,0,0,0,1,6069,59.62048,122.8084,0.001806271,0.2975874,0.04335817,550.7729,1134.502,13.75,36.25
6137,6137,52,6,0,0,0,0,0,0,0,6189,29.81024,61.40421,0.000903135,0.1487937,0.02167909,241.9315,498.3393,14.25,36.25
6138,6138,65,11,0,0,0,0,0,1,0,6189,29.81024,61.40421,0.000903135,0.1487937,0.02167909,241.9315,498.3393,14.25,36.25
6139,6139,64,6,1,0,1,0,0,1,0,6300,1709.076,3620.881,0.04320262,8.514526,1.323611,14545.7,31080.22,14.75,36.25
6140,6140,57,5,0,0,0,0,0,0,0,6300,1709.076,3620.881,0.04320262,8.514526,1.323611,14545.7,31080.22,14.75,36.25
6141,6141,63,6,0,1,0,1,0,0,1,6443,854.5378,1810.44,0.02160131,4.257263,0.6618056,7871.734,16798.99,15.25,36.25
6173,6173,20,0,0,0,0,0,0,0,0,8640,66.5286,393.6782,0.001833824,0.3322667,0.04554336,532.0898,3148.603,23.25,36.25
6184,6184,13,1,0,0,0,0,0,0,0,8904,1.730785,3.540791,4.42E-05,0.008619316,0.00134765,13.80905,28.4438,25.75,36.25
6191,6191,19,4,0,0,0,0,0,0,1,9181,8.536008,18.91331,0.000330531,0.04251649,0.006806597,70.85128,156.9858,27.75,36.25
6192,6192,12,1,0,0,0,0,0,0,0,9181,8.536008,18.91331,0.000330531,0.04251649,0.006806597,70.85128,156.9858,27.75,36.25
6194,6194,21,0,0,0,0,0,0,0,0,9237,238.0384,486.972,0.006072788,1.185432,0.185345,1846.002,3803.523,28.25,36.25
6287,6287,6,1,0,0,0,0,0,0,0,1205,5.440023,22.39523,0.000176758,0.02707285,0.003784324,49.88606,205.3686,-8.25,36.75
6291,6291,7,0,0,0,0,0,0,0,0,1432,298.3492,610.3541,0.007611425,1.48578,0.2323051,2749.86,5655.122,-7.25,36.75
6292,6292,23,1,0,0,0,0,0,0,0,1432,298.3492,610.3541,0.007611425,1.48578,0.2323051,2749.86,5655.122,-7.25,36.75
6293,6293,30,1,0,0,0,0,0,0,0,1557,1193.397,2441.416,0.0304457,5.943118,0.9292202,10163.58,20920.14,-6.75,36.75
6294,6294,24,1,0,0,0,0,0,0,0,1557,1193.397,2441.416,0.0304457,5.943118,0.9292202,10163.58,20920.14,-6.75,36.75
6304,6304,97,6,0,0,0,0,0,0,1,2129,37.73293,161.5,0.000861869,0.1885493,0.02634805,295.7892,1265.456,-4.25,36.75
6305,6305,76,10,0,1,0,2,0,0,3,2220,9.433232,40.37501,0.000215467,0.04713733,0.006587013,74.30025,317.8746,-3.75,36.75
6306,6306,107,9,0,1,0,1,0,0,3,2220,9.433232,40.37501,0.000215467,0.04713733,0.006587013,74.30025,317.8746,-3.75,36.75
6307,6307,117,6,0,0,0,0,0,0,0,2336,0.107321,0.1870279,2.92E-06,0.000535099,8.71E-05,0.8397111,1.469452,-3.25,36.75
6308,6308,97,8,0,0,0,0,0,0,3,2336,0.107321,0.1870279,2.92E-06,0.000535099,8.71E-05,0.8397111,1.469452,-3.25,36.75
6309,6309,114,7,0,0,0,0,0,0,0,2477,0.429284,0.7481115,1.17E-05,0.002140396,0.000348364,3.326561,5.82167,-2.75,36.75
6310,6310,130,8,0,0,0,0,0,0,0,2477,0.429284,0.7481115,1.17E-05,0.002140396,0.000348364,3.326561,5.82167,-2.75,36.75
6311,6311,93,7,0,0,0,0,0,0,1,2628,71.053,134.8511,0.001783196,0.3541997,0.05419508,553.542,1062.177,-2.25,36.75
6371,6371,47,6,0,0,0,0,0,0,1,5768,22.66745,30.40889,0.000609723,0.1127076,0.01757747,217.9144,292.337,12.75,36.75
